station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
17,1/2/2012,45,22,34,10,28,31,0, ,0,0,29.96,30.66,3.7,33,4.8
18,1/2/2012,53,35,44,23,36,21,0, ,0,0,30.11,30.63,6.7,35,6.9
19,1/2/2012,25,15,20,9,17,45,0,SN,0.00001,0.00001,29.47,30.2,17.8,31,18.1
20,1/2/2012,53,33,43,21,35,22,0, ,0,0,29.9,30.62,7.9,34,8.6
1,1/3/2012,32,11,22,4,18,43,0, ,0,0,29.67,29.87,10.8,31,11.6
2,1/3/2012,28,9,19,4,16,46,0, ,0,0,28.69,29.85,12.3,31,12.8
3,1/3/2012,55,21,38,19,32,27,0, ,0,0,29.55,30.34,11.6,17,11.8
4,1/3/2012,62,31,47,26,39,18,0, ,0,0,29.7,30.48,3.1,17,4.2
6,1/3/2012,62,25,44,26,37,21,0, ,0,0,29.88,30.48,5.4,18,5.8
7,1/3/2012,60,27,44,22,35,21,0, ,0,0,28.84,30.3,15.7,19,15.9
8,1/3/2012,61,30,45.744908,28,38,19.255092,0, ,0,0,30.12,31.0865508,3.9,16,3.9
9,1/3/2012,28,10,19,11,18,46,0, ,0,0,29.26,30.12,8.9,16,9.2
10,1/3/2012,48,34,41,11,31,24,0, ,0,0,30.27,30.33,11.8,31,12.1
11,1/3/2012,44,25,35,12,28,30,0, ,0,0,30.26,30.33,9.3,31,9.7
12,1/3/2012,47,34,41,12,30,24,0, ,0,0,30.25,30.33,12.9,32,13.2
13,1/3/2012,55,31,43,16,33,22,0, ,0,0,24.4,30.23,2.9,21,6.3
14,1/3/2012,60,24,42,23,33,23,0, ,0,0,28.84,30.3,12.4,18,12.7
15,1/3/2012,30,5,18,2,14,47,0, ,0,0,29.44,29.87,13.1,31,13.7
16,1/3/2012,32,11,22,6,18,43,0, ,0,0,29.7,29.84,10.2,31,10.9
17,1/3/2012,55,19,37,18,31,28,0, ,0,0,29.61,30.36,6.9,18,7
18,1/3/2012,59,30,45,25,37,20,0, ,0,0,29.84,30.41,8.8,17,9.1
19,1/3/2012,26,10,18,5,15,47,0, ,0,0,29.43,30.26,5.5,23,9.2
20,1/3/2012,59,30,45,23,37,20,0, ,0,0,29.63,30.41,7.9,17,8.5
1,1/4/2012,28,9,19,-1,14,46,0, ,0,0,29.86,30.03,6.3,27,8.3
2,1/4/2012,21,5,13,0,11,52,0, ,0,0,28.87,30.01,10.1,27,11.7
3,1/4/2012,63,31,47,26,37,18,0, ,0,0,29.53,30.27,2.5,31,4.9
4,1/4/2012,73,41,57,39,47,8,0, ,0,0,29.55,30.28,1.3,35,2.2
6,1/4/2012,71,31,51,41,45,14,0,BR,0,0,29.72,30.28,0.8,22,4.7
7,1/4/2012,58,32,45,28,37,20,0, ,0,0,28.9,30.31,5,33,7.4
8,1/4/2012,72,37,54.744908,45,49,10.255092,0, ,0,0,29.9,30.859491,1.4,24,2.6
9,1/4/2012,39,20,30,22,26,35,0,BR,0,0,29.26,30.06,2.8,28,5.2
10,1/4/2012,53,32,43,16,33,22,0, ,0,0,30.35,30.38,3,29,5.8
11,1/4/2012,54,22,38,15,29,27,0, ,0,0,30.34,30.37,2.3,27,3.1
12,1/4/2012,53,31,42,17,32,23,0, ,0,0,30.34,30.38,2.7,32,4.2
13,1/4/2012,58,27,43,16,32,22,0, ,0,0,24.49,30.36,5.5,19,6.1
14,1/4/2012,58,32,45,27,37,20,0, ,0,0,28.89,30.29,6.1,34,7.6
15,1/4/2012,23,3,13,-1,11,52,0, ,0,0,29.63,30.02,5.1,30,6.4
16,1/4/2012,27,8,18,-1,14,47,0, ,0,0,29.9,30,7.9,28,9.9
17,1/4/2012,63,28,46,25,36,19,0,RA,0,0.00001,29.59,30.29,2.1,36,3.3
18,1/4/2012,62,37,50,33,41,15,0, ,0,0,29.75,30.28,0.8,15,5.5
19,1/4/2012,34,24,29,17,25,36,0, ,0,0,29.21,30,7.9,27,9.7
20,1/4/2012,62,38,50,32,41,15,0, ,0,0,29.54,30.27,1.1,32,4.9
1,1/5/2012,38,25,32,13,25,33,0, ,0,0,29.67,29.84,6.9,25,7.8
2,1/5/2012,31,20,26,12,21,39,0, ,0,0,28.7,29.84,10.9,26,11.3
3,1/5/2012,68,31,50,28,41,15,0, ,0,0,29.35,30.11,7.3,19,7.6
4,1/5/2012,70,44,57,41,49,8,0, ,0,0,29.51,30.24,0.4,31,1.8
6,1/5/2012,71,38,55,43,50,10,0, ,0,0,29.68,30.24,0.3,25,2.3
7,1/5/2012,66,28,47,29,40,18,0, ,0,0,28.71,30.13,12.2,20,12.4
8,1/5/2012,70,46,58.244908,46,52,6.755092,0, ,0,0,29.87,30.8285283,0.9,33,1
9,1/5/2012,46,21,34,28,32,31,0,BR,0,0,28.95,29.73,0.9,17,2.1
10,1/5/2012,68,36,52,37,45,13,0, ,0,0,30.2,30.21,8,27,8.3
11,1/5/2012,68,31,50,35,41,15,0, ,0,0,M,30.21,6.6,27,M
12,1/5/2012,68,32,50,38,44,15,0, ,0,0,30.18,30.22,5,28,5.5
13,1/5/2012,66,35,51,21,37,14,0, ,0,0,24.26,30.04,4.2,21,5
14,1/5/2012,67,29,48,28,38,17,0, ,0,0,28.71,30.14,9.8,21,10.3
15,1/5/2012,36,17,27,13,22,38,0, ,0,0,29.42,29.82,3.5,29,5.8
16,1/5/2012,38,24,31,13,25,34,0, ,0,0,29.7,29.82,6.9,27,8.1
17,1/5/2012,68,26,47,26,38,18,0, ,0,0,29.42,30.14,4.3,20,4.4
18,1/5/2012,66,35,51,33,42,14,0, ,0,0,29.66,30.21,2.7,18,2.9
19,1/5/2012,47,26,37,26,33,28,0, ,0,0,29.02,29.83,8.4,23,8.5
20,1/5/2012,67,36,52,33,43,13,0, ,0,0,29.46,30.21,2.1,23,4.4
1,1/6/2012,46,25,36,21,29,29,0,SN,0,0.00001,29.68,29.84,0.3,1,2.4
2,1/6/2012,47,21,34,23,30,31,0,SN,0.2,0.01,28.71,29.81,6.4,22,6.8
3,1/6/2012,69,40,55,35,44,10,0, ,0,0,29.16,29.89,6.1,18,9.6
4,1/6/2012,74,55,65,52,M,0,0,BR,0,0,29.26,29.95483722,4.2,19,5.4
6,1/6/2012,75,43,59.244908,54,57,5.755092,0,BR,0,0.00001,29.44,29.99,10.6,19,10.8
7,1/6/2012,67,41,54,31,42,11,0, ,0,0,28.51,29.89,7.3,22,14.4
8,1/6/2012,73,57,65.244908,53,58,0,0.244908,BR HZ,0,0,29.65,30.6014685,7.7,20,8
9,1/6/2012,47,34,41,28,36,24,0, ,0,0,29,29.75,9.3,28,9.5
10,1/6/2012,72,44,58,44,50,7,0,FG+ BR,0,0,30.14,30.16,2.8,21,4.4
11,1/6/2012,71,36,54,40,46,11,0,FG+ BR,0,0,30.12,30.16,1.8,25,2.1
12,1/6/2012,70,38,54,43,48,11,0,FG+ BR,0,0,30.12,30.17,2.4,24,2.6
13,1/6/2012,45,25,35,22,31,30,0, ,0,0,24.21,30.01,3.6,12,6.2
14,1/6/2012,67,37,52,31,42,13,0, ,0,0,28.5,29.89,5.1,21,12.2
15,1/6/2012,33,15,24,19,23,41,0,SN,0.2,0.01,29.46,29.83,0.6,35,1.8
16,1/6/2012,45,25,35,24,30,30,0, ,0,0.00001,29.72,29.82,1.6,19,2.6
17,1/6/2012,69,34,52,34,43,13,0, ,0,0,29.23,29.92,3.4,19,7.5
18,1/6/2012,73,48,61,46,53,4,0, ,0,0,29.39,29.93,8.6,19,9.1
19,1/6/2012,51,38,45,29,38,20,0, ,0,0,28.95,29.71,7.2,27,7.9
20,1/6/2012,74,50,62,47,54,3,0, ,0,0,29.19,29.93,7,19,8
1,1/7/2012,57,28,43,28,36,22,0, ,0,0,29.57,29.76,3,26,3.6
2,1/7/2012,56,37,47,29,38,18,0, ,0,0,28.63,29.75,8.9,26,9.6
3,1/7/2012,58,36,47,26,39,18,0, ,0,0,29.36,30.06,8.2,1,8.9
4,1/7/2012,69,49,59,44,M,6,0,FG+ BR,0,0,M,M,1,30,2.3
6,1/7/2012,70,46,58,45,51,7,0,FG+ BR,0,0,29.47,30,1.6,33,3.4
7,1/7/2012,58,33,46,25,37,19,0, ,0,0,28.69,30.06,9.8,2,10.4
8,1/7/2012,68,54,61.244908,51,54,3.755092,0,FG+ FG BR,0,0,29.63,30.5808267,0.4,31,1.7
9,1/7/2012,38,22,30,21,26,35,0, ,0,0,29.36,30.11,5.3,30,7.4
10,1/7/2012,71,49,60,51,54,5,0,FG+ FG BR,0,0.01,30.11,30.15,1.9,20,3
11,1/7/2012,73,42,58,48,51,7,0,FG+ FG BR,0,0.00001,30.1,30.15,2,27,2.3
12,1/7/2012,71,43,57,51,54,8,0,FG+ FG BR,0,0.01,30.09,30.15,1.9,25,2.4
13,1/7/2012,39,22,31,23,27,34,0,SN FG+ FZFG BR,0,0.16,24.19,30.07,4.6,33,5.9
14,1/7/2012,59,38,49,24,38,16,0, ,0,0,28.66,30.05,11,3,11.8
15,1/7/2012,44,22,33,25,29,32,0, ,0,0,29.35,29.75,0.6,29,0.9
16,1/7/2012,58,25,42,29,36,23,0, ,0,0,29.6,29.73,2.8,29,3.7
17,1/7/2012,60,40,50,25,39,15,0, ,0,0,29.41,30.08,9.2,2,9.4
18,1/7/2012,61,44,53,41,47,12,0, ,0,0,29.47,29.98,4.3,31,6.4
19,1/7/2012,41,29,35,23,31,30,0, ,0,0,29.32,30.03,7.4,30,7.7
20,1/7/2012,61,45,53,41,47,12,0, ,0,0,29.27,29.97,5.9,29,8.1
1,1/8/2012,45,27,36,22,32,29,0, ,0,0,29.9,30.11,5.1,30,6.6
2,1/8/2012,39,25,32,20,29,33,0, ,0,0,28.95,30.11,10.8,29,11
3,1/8/2012,53,33,43,28,38,22,0, ,0,0,29.45,30.16,8.3,36,8.4
4,1/8/2012,60,47,54,48,M,11,0,RA HZ,0,0.05,29.31,30.00602457,2.4,3,3.6
6,1/8/2012,61,42,52,49,52,13,0,RA BR,0,0.01,29.47,30,7.7,2,8.1
7,1/8/2012,51,39,45,26,37,20,0, ,0,0,28.78,30.16,10.6,1,10.8
8,1/8/2012,72,52,62.244908,55,58,2.755092,0,RA BR HZ,0,0.03,29.64,30.5911476,1.1,36,1.2
9,1/8/2012,41,19,30,23,27,35,0,BR,0,0,29.42,30.22,1.1,19,1.9
10,1/8/2012,75,49,62,51,55,3,0, ,0,0,30.17,30.21,3,14,3.1
11,1/8/2012,75,42,59,49,53,6,0,BR,0,0,30.17,30.21,2,15,2.5
12,1/8/2012,74,45,60,51,54,5,0,FG BR,0,0,30.16,30.22,1.1,14,1.5
13,1/8/2012,33,11,22,15,20,43,0, ,0,0,24.32,30.29,3.8,18,4.6
14,1/8/2012,51,42,47,26,38,18,0, ,0,0,28.76,30.14,10.5,2,10.8
15,1/8/2012,41,21,31,20,27,34,0, ,0,0,29.67,30.11,7.4,31,7.9
16,1/8/2012,43,27,35,22,32,30,0, ,0,0,29.93,30.08,6,30,6.8
17,1/8/2012,53,38,46,27,38,19,0, ,0,0,29.5,30.18,7.2,1,7.6
18,1/8/2012,58,40,49,45,48,16,0,TSRA FG+ BR HZ,0,0.02,29.56,30.07,3.8,2,4.1
19,1/8/2012,41,19,30,21,28,35,0, ,0,0,29.53,30.29,4.4,23,4.5
20,1/8/2012,59,39,49,44,47,16,0,RA BR HZ VCTS,0,0.13,29.34,30.06,4.7,1,5.8
1,1/9/2012,39,23,31,12,25,34,0, ,0,0,30.06,30.2,2.3,23,4
2,1/9/2012,38,21,30,12,M,35,0, ,0,0,29.05,30.18295,6.9,25,7.9
3,1/9/2012,54,26,40,27,35,25,0, ,0,0,29.46,30.2,6.6,35,7.2
4,1/9/2012,57,42,50,47,48,15,0,RA BR,0,0.87,29.33,30.02,6.6,34,8.2
6,1/9/2012,58,43,51,48,49,14,0,TSRA RA DZ BR,0,0.62,29.48,30,11.2,35,12.5
7,1/9/2012,52,27,40,26,34,25,0, ,0,0,28.79,30.21,8.6,36,8.8
8,1/9/2012,68,48,58.244908,50,52,6.755092,0,TSRA RA DZ BR VCTS,0,0.62,29.6,30.549864,8.4,34,9.4
9,1/9/2012,49,27,38,25,33,27,0, ,0,0,29.17,29.96,6.8,25,7.5
10,1/9/2012,75,52,64,54,58,1,0,BR,0,0,30.14,30.17,2.2,16,2.4
11,1/9/2012,76,46,61,51,54,4,0,FG BR,0,0,30.14,30.17,1.6,25,1.8
12,1/9/2012,75,49,62,53,56,3,0,FG+ BR,0,0,30.13,30.17,2.1,22,2.3
13,1/9/2012,47,17,32,19,27,33,0, ,0,0,24.37,30.31,3.4,18,3.9
14,1/9/2012,51,32,42,26,35,23,0, ,0,0,28.77,30.19,10.5,36,10.6
15,1/9/2012,35,15,25,13,21,40,0, ,0,0,29.81,30.18,1,16,2.9
16,1/9/2012,38,21,30,14,25,35,0, ,0,0,30.09,30.18,2.7,25,5.3
17,1/9/2012,55,32,44,26,36,21,0, ,0,0,29.52,30.22,4.6,1,5
18,1/9/2012,51,44,48,43,45,17,0,TSRA RA BR,0,1.32,29.54,30.08,8,36,9
19,1/9/2012,46,27,37,26,32,28,0, ,0,0,29.23,30.03,11.7,24,12.1
20,1/9/2012,50,44,47,43,45,18,0,RA BR VCTS,0,1.58,29.33,30.07,9.5,36,10.9
1,1/10/2012,47,29,38,24,32,27,0, ,0,0.00001,29.69,29.86,5.4,25,6.5
2,1/10/2012,41,25,33,24,30,32,0,SN,0.00001,0.00001,28.74,29.86,9.6,26,10
3,1/10/2012,51,30,41,29,37,24,0, ,0,0,29.16,29.94,3,34,4.6
4,1/10/2012,58,41,50,37,43,15,0, ,0,0,29.24,29.97,5.5,30,7.1
6,1/10/2012,60,35,48,37,43,17,0, ,0,0.00001,29.41,29.97,7.8,31,8.4
7,1/10/2012,55,32,44,28,36,21,0,RA,0,0.00001,28.51,29.95,5,36,6.5
8,1/10/2012,59,41,50.244908,38,44,14.755092,0, ,0,0,29.6,30.549864,7.4,30,8.1
9,1/10/2012,54,24,39,29,34,26,0,BR,0,0,29,29.82,2.5,17,3.6
10,1/10/2012,74,56,65,56,60,0,0,RA BR HZ,0,0,30.03,30.05,3.6,17,4.1
11,1/10/2012,76,47,62,54,57,3,0,BR,0,0,30.02,30.05,3.7,17,4.1
12,1/10/2012,75,48,62,55,58,3,0,BR,0,0,30.02,30.05,3.4,19,3.8
13,1/10/2012,56,28,42,24,33,23,0, ,0,0,24.13,29.96,4.1,16,4.5
14,1/10/2012,54,30,42,28,37,23,0,RA,0,0.00001,28.5,29.93,6.6,36,8
15,1/10/2012,43,23,33,21,29,32,0, ,0,0,29.44,29.84,2.8,27,6.3
16,1/10/2012,47,28,38,25,32,27,0,SN BR,0,0.01,29.72,29.84,5.2,26,6.3
17,1/10/2012,52,35,44,28,37,21,0, ,0,0,29.22,29.95,2.2,1,2.5
18,1/10/2012,46,42,44,41,43,21,0,TS TSRA RA DZ BR,0,0.49,29.34,29.89,8,31,8.9
19,1/10/2012,50,25,38,28,34,27,0, ,0,0,29.14,29.93,4.5,21,4.9
20,1/10/2012,47,42,45,41,43,20,0,TSRA RA BR,0,0.3,29.13,29.88,11.3,31,11.7
1,1/11/2012,39,24,32,21,29,33,0, ,0,0,29.91,30.1,3.4,7,4.2
2,1/11/2012,38,28,33,22,28,32,0, ,0,0,28.92,30.06,1.5,9,4.5
3,1/11/2012,61,29,45,30,36,20,0,SN BR,0.5,0.02,29.08,29.79,9.5,32,12.1
4,1/11/2012,77,38,58,36,M,7,0, ,0,0,29.1,29.7910377,3.7,29,6.3
6,1/11/2012,76,29,53,36,45,12,0, ,0,0,29.28,29.81,5.8,24,9.9
7,1/11/2012,53,28,41,27,34,24,0,SN BR,0.00001,0.00001,28.47,29.84,12.5,34,15.8
8,1/11/2012,72,41,56.744908,36,47,8.255092,0, ,0,0,29.45,30.3950505,6.4,25,8.9
9,1/11/2012,38,14,26,22,25,39,0,SN BR,0,0.00001,28.99,29.76,13,32,14.1
10,1/11/2012,75,59,67,55,60,0,2,RA,0,0.04,29.77,29.78,10.4,20,13
11,1/11/2012,73,55,64,55,59,1,0,RA,0,0.00001,29.75,29.78,9.3,21,11.3
12,1/11/2012,76,59,68,56,60,0,3, ,0,0.00001,29.75,29.79,8.7,22,10.8
13,1/11/2012,41,3,22.244908,12,16,42.755092,0,SN FZFG BR,0,0.01,24.24,30.15,5.3,4,8.8
14,1/11/2012,56,29,43,28,35,22,0,SN,0.00001,0.00001,28.45,29.82,14.2,35,15.6
15,1/11/2012,34,21,28,18,25,37,0,SN BR,0,0,29.67,30.09,1.1,36,3.2
16,1/11/2012,38,23,31,22,29,34,0, ,0,0,29.93,30.07,3.2,8,5.9
17,1/11/2012,62,24,43,27,35,22,0,SN BR,M,0.02,29.15,29.82,5.7,33,5.9
18,1/11/2012,65,36,51,39,45,14,0, ,0,0,29.26,29.76,3.6,34,8.1
19,1/11/2012,55,28,42,29,35,23,0,BR HZ,0,0,28.85,29.64,0.7,21,2.5
20,1/11/2012,64,37,51,39,45,14,0, ,0,0,29.05,29.76,4.4,31,9.2
1,1/12/2012,40,31,36,31,34,29,0,RA SN BR,0,0.69,29.62,29.74,10.7,5,12.3
2,1/12/2012,33,30,32,31,31,33,0,RA SN FG+ FG FZFG BR UP,3.6,1.06,28.62,29.69,10.5,5,10.7
3,1/12/2012,35,21,28,9,23,37,0, ,0,0,29.39,30.11,14.5,30,15.1
4,1/12/2012,50,33,42,16,33,23,0, ,0,0,29.54,30.24,8.2,34,8.3
6,1/12/2012,51,28,40,18,33,25,0, ,0,0,29.7,30.22,13.3,34,13.9
7,1/12/2012,36,18,27,3,21,38,0, ,0,0,28.77,30.17,12.4,31,12.8
8,1/12/2012,54,32,43.244908,20,34,21.755092,0, ,0,0,29.83,30.7872447,12.1,34,13
9,1/12/2012,16,11,14,5,12,51,0,SN,0,0.00001,29.08,29.86,18,33,18.2
10,1/12/2012,75,52,64,52,58,1,0, ,0,0,29.8,29.84,10.7,24,11.4
11,1/12/2012,74,47,61,52,56,4,0,BR,0,0,29.79,29.84,10.8,24,11.4
12,1/12/2012,74,49,62,53,58,3,0, ,0,0,29.79,29.84,10,24,10.5
13,1/12/2012,40,-1,20,3,18,45,0, ,0,0,24.24,30.23,3.2,25,6.5
14,1/12/2012,37,18,28,2,22,37,0, ,0,0,28.76,30.16,16.8,32,17.3
15,1/12/2012,32,26,29,26,28,36,0,SN FZFG BR UP,3.7,0.34,29.44,29.78,6.9,4,7.7
16,1/12/2012,41,31,36,34,36,29,0,RA SN BR,0,0.98,29.64,29.7,10,4,12.5
17,1/12/2012,35,23,29,7,22,36,0, ,0,0,29.46,30.14,5.3,30,7.2
18,1/12/2012,42,29,36,14,29,29,0, ,0,0,29.7,30.2,12.6,32,12.9
19,1/12/2012,36,20,28,M,M,37,0,DZ SN BR HZ,6.1,0.35,28.72,29.483952,13.2,34,14.1
20,1/12/2012,43,27,35,13,28,30,0, ,0,0,29.48,30.18,13.2,32,14.4
1,1/13/2012,50,30,40,27,32,25,0,RA FZRA FG+ FG BR UP,0,0.02,29.24,29.41,8.7,24,12.7
2,1/13/2012,40,24,32,24,28,33,0,FZRA FG+ FZFG UP,0.00001,0.09,28.3,29.4,9.7,24,15.8
3,1/13/2012,48,20,34,10,26,31,0, ,0,0,29.41,30.16,3.5,23,5.6
4,1/13/2012,58,32,45,22,36,20,0, ,0,0,29.59,30.3,1.6,28,3.9
6,1/13/2012,59,26,43,23,35,22,0, ,0,0,29.77,30.3,2.1,21,3.7
7,1/13/2012,52,17,35,17,28,30,0, ,0,0,28.76,30.18,5.9,22,6.5
8,1/13/2012,55,30,42.744908,26,36,22.255092,0, ,0,0,29.94,30.9007746,1.6,23,2.4
9,1/13/2012,14,8,11,4,10,54,0,SN,0,0.00001,29.23,30.02,6,32,7.6
10,1/13/2012,65,43,54,23,39,11,0, ,0,0,30.06,30.12,8.6,29,9.3
11,1/13/2012,63,38,51,21,37,14,0, ,0,0,30.04,30.13,9.6,28,10
12,1/13/2012,65,42,54,22,39,11,0, ,0,0,30.03,30.12,9.5,29,10.3
13,1/13/2012,44,19,32,7,25,33,0, ,0,0,24.23,30.11,7.4,26,8.6
14,1/13/2012,52,18,35,15,27,30,0, ,0,0,28.74,30.17,4.4,23,5.8
15,1/13/2012,36,26,31,25,28,34,0,FZRA SN BR UP,0,0.11,29,29.38,5.2,25,6.9
16,1/13/2012,54,30,42,27,33,23,0,RA FG BR,0,0.06,29.28,29.38,9.6,24,13.5
17,1/13/2012,49,15,32,10,25,33,0, ,0,0,29.48,30.19,2,22,2.2
18,1/13/2012,56,28,42,24,35,23,0, ,0,0,29.7,30.23,3.8,20,3.9
19,1/13/2012,22,18,20,14,19,45,0,SN,0.6,0.05,29.11,29.84,11,30,11.1
20,1/13/2012,57,27,42,21,35,23,0, ,0,0,29.5,30.22,3.4,21,4
1,1/14/2012,35,14,25,12,23,40,0, ,0,0,29.58,29.81,11.1,28,12.5
2,1/14/2012,28,12,20,8,19,45,0, ,0,0,28.64,29.81,16.1,27,16.7
3,1/14/2012,55,31,43,21,34,22,0, ,0,0,29.47,30.2,5.1,29,6.7
4,1/14/2012,67,31,49,24,M,16,0, ,0,0,29.62,30.32338614,1.5,21,1.9
6,1/14/2012,66,22,44,25,36,21,0, ,0,0,29.8,30.35,4.1,21,4.4
7,1/14/2012,57,29,43,16,33,22,0, ,0,0,28.83,30.23,2.6,32,7.8
8,1/14/2012,63,30,46.744908,30,39,18.255092,0, ,0,0,29.99,30.9523791,4,22,4.6
9,1/14/2012,21,6,14,9,13,51,0,SN BR HZ,0,0.01,29.31,30.1,4.7,14,5.3
10,1/14/2012,57,37,47,21,37,18,0, ,0,0,30.27,30.31,7.3,31,8.4
11,1/14/2012,56,29,43,21,34,22,0, ,0,0,30.27,30.31,5.6,30,6.1
12,1/14/2012,56,33,45,22,36,20,0, ,0,0,30.26,30.31,7.8,31,8.4
13,1/14/2012,53,20,37,12,30,28,0, ,0,0,24.24,30.08,8,20,9.4
14,1/14/2012,58,29,44,15,33,21,0, ,0,0,28.81,30.22,2.9,34,7.6
15,1/14/2012,31,5,18,10,19,47,0, ,0,0,29.34,29.8,11,30,12.3
16,1/14/2012,35,15,25,12,23,40,0, ,0,0,29.62,29.78,10.9,28,12.3
17,1/14/2012,56,23,40,19,31,25,0, ,0,0,29.54,30.23,0.9,29,2.6
18,1/14/2012,67,37,52,28,40,13,0, ,0,0,29.73,30.26,2.5,19,4.3
19,1/14/2012,21,14,18,9,15,47,0,SN,0.3,0.01,29.38,30.12,5.4,27,5.7
20,1/14/2012,69,42,56,26,42,9,0, ,0,0,29.53,30.25,5.7,24,7.3
1,1/15/2012,16,4,10,-5,7,55,0, ,0,0,30.09,30.31,11.2,31,11.6
2,1/15/2012,13,2,8,-3,5,57,0, ,0,0,29.05,30.28,13.6,31,13.8
3,1/15/2012,64,32,48,28,40,17,0, ,0,0,29.29,30.06,16.3,17,16.5
4,1/15/2012,64,37,51,41,48,14,0, ,0,0,29.53,30.26,2.7,18,4.4
6,1/15/2012,64,26,45,42,46,20,0, ,0,0.00001,29.7,30.27,6.9,18,7
7,1/15/2012,61,32,47,30,41,18,0, ,0,0,28.61,30.02,18.9,18,19.3
8,1/15/2012,64,34,49.244908,45,49,15.755092,0, ,0,0,29.91,30.8698119,5.6,17,5.9
9,1/15/2012,38,18,28,21,26,37,0,BR,0,0,29.11,29.93,11.2,14,11.3
10,1/15/2012,65,38,52,29,41,13,0, ,0,0,30.36,30.41,5.2,31,7.6
11,1/15/2012,63,33,48,27,38,17,0, ,0,0,30.35,30.41,4.3,29,5
12,1/15/2012,64,32,48,30,40,17,0, ,0,0,30.35,30.41,5.1,31,5.4
13,1/15/2012,54,33,44,12,33,21,0, ,0,0,24.01,29.75,11.1,22,12.1
14,1/15/2012,61,28,45,31,40,20,0, ,0,0,28.61,30.03,14.7,17,15.1
15,1/15/2012,10,-1,5,-7,2,60,0, ,0,0,29.85,30.31,11.2,31,11.4
16,1/15/2012,16,3,10,-5,7,55,0, ,0,0,30.1,30.27,13.8,31,13.8
